link_name,profile,loc,type
"HOLY TRINITY COMPUTER CENTRE, Ebute-Ero",1890,Lagos-Island,State owned
"HOLY TRINITY PRIMARY COMPUTER CENTRE, Pencinema",2630,Ifako/Ijaiye,State owned
"HOLY TRINITY PRIMARY SCHOOL,  Ebute Ero",1204,Lagos-Island,State owned
"HOLY TRINITY PRIMARY SCHOOL, Ifako",2626,Ifako/Ijaiye,State owned
"HOLY TRINTY PRIMARY SCHOOL, Ikorodu",9358,Ikorodu,State owned
"HOLYFIELD PRIVATE SCHOOL, Okokomaiko ",4533,Ojo,Privately owned
"HOME  ECONOMICS  CENTRE,  Maryland",2059,Kosofe,State owned
HOME ECONOMIC CENTRE,1411,Lagos-Island,State owned
HOME ECONOMIC CENTRE,1412,Agege,State owned
HOME ECONOMIC CENTRE,1425, Ikeja,State owned
HOME ECONOMIC CENTRE IV,1406, Shomolu,State owned
"HOME ECONOMIC'S CENTRE, ST. THERESA SCHOOL, Epe",2673,Epe,State owned
"HOME ECONOMICS CENRTE, Sanya",2070,Surulere,State owned
HOME ECONOMICS CENTRE,2645,Ifako/Ijaiye,State owned
HOME ECONOMICS CENTRE,1391,Apapa,State owned
HOME ECONOMICS CENTRE,1395,Alimosho,State owned
HOME ECONOMICS CENTRE,1397, Badagry ,State owned
HOME ECONOMICS CENTRE,1401,Apapa,State owned
HOME ECONOMICS CENTRE,1414,Ikorodu,State owned
HOME ECONOMICS CENTRE,1415,Ikorodu,State owned
HOME ECONOMICS CENTRE,1416, Shomolu,State owned
HOME ECONOMICS CENTRE,1417,Ikorodu,State owned
HOME ECONOMICS CENTRE,1418,Ikorodu,State owned
HOME ECONOMICS CENTRE ,1419,Ikorodu,State owned
HOME ECONOMICS CENTRE,1433,Surulere,State owned
HOME ECONOMICS CENTRE,1447,Ojo,State owned
HOME ECONOMICS CENTRE,1448,Oshodi-Isolo,State owned
HOME ECONOMICS CENTRE,1451, Shomolu,State owned
HOME ECONOMICS CENTRE,1454, Shomolu,State owned
HOME ECONOMICS CENTRE,1457,Surulere,State owned
HOME ECONOMICS CENTRE,1458,Lagos-Island,State owned
HOME ECONOMICS CENTRE,1459,Surulere,State owned
HOME ECONOMICS CENTRE,1461,Surulere,State owned
HOME ECONOMICS CENTRE I,1403,Epe,State owned
HOME ECONOMICS CENTRE II,1394,Alimosho,State owned
HOME ECONOMICS CENTRE II,1404,Epe,State owned
HOME ECONOMICS CENTRE III,1405,Ikorodu,State owned
"HOME ECONOMICS CENTRE LILG,  Okesuna",1879,Lagos-Island,State owned
"HOME ECONOMICS CENTRE METHODIST PRY, Agbowa-Ikosi",2698,Epe,State owned
HOME ECONOMICS CENTRE ST MARYS  Lagos,1878,Lagos-Island,State owned
"HOME ECONOMICS CENTRE Z.I, Epe",2680,Epe,State owned
"HOME ECONOMICS CENTRE,  Alaba Oro",1407,Ajeromi LGA,State owned
"HOME ECONOMICS CENTRE,  Kosofe",2041,Kosofe,State owned
"HOME ECONOMICS CENTRE,  Navy Town",2150,Amuwo-Odofin,State owned
"HOME ECONOMICS CENTRE, Badagry",1390, Badagry ,State owned
"HOME ECONOMICS CENTRE, Ebute-Metta East",1434,Lagos-Mainland,State owned
"HOME ECONOMICS CENTRE, Ebute-Metta West",1435,Lagos-Mainland,State owned
"HOME ECONOMICS CENTRE, Ibonwon",2742,Epe,State owned
"HOME ECONOMICS CENTRE, Oworonsoki",12322,Kosofe,State owned
"HOME ECONOMICS CENTRE, Poka",2743,Epe,State owned
"HOME ECONOMICS CENTRE, Sabo",12338,Lagos-Mainland,State owned
"HOME ECONOMICS CENTRE, Somolu",2458, Shomolu,State owned
"HOME ECONOMICS CENTRE, Surulere Baptist.",2047,Surulere,State owned
"HOME ECONOMICS CENTRE,COKER-SURULERE.",2038,Surulere,State owned
HOME ECONOMICS/ART & CRAFT,1400,Surulere,State owned
HOME ECONOMICS/ART & CRAFT CENTRE,1399,Lagos-Island,State owned
HOME ECONOMICS/VOCATIONAL CENTRE II,1386,Agege,State owned
"HOME SCIENCE ASSOCIATION N/P SCHOOL, Ikoyi",4219,Eti-Osa,Privately owned
"HOME SCIENCE ASSOCIATION NUR/PRY SCHOOL, Abule-Egba",4053,Ifako/Ijaiye,Privately owned
"HOME SCIENCE ASSOCIATION SECONDARY SCHOOL, Alakuko",3347,Ifako/Ijaiye,Privately owned
"HOMELAND COLLEGE (BOYS & GIRLS), Araromi-Meiran",74441,Alimosho,Privately owned
"HOMELAND SCHOOLS, Akintan - Meiran",11614,Alimosho,Privately owned
"HON-BETHEL NURSERY & PRIMARY SCHOOL, Ojodu",6789, Ikeja,Privately owned
"HONEY DROP INTERNATIONAL COLLEGE, Avia",78920, Badagry ,Privately owned
"HONEY HOME CHILDREN S NUR/PRY SCHOOL, Aguda",91604,Surulere,Privately owned
"HONEYFIELDS SCHOOL NUR/PRY SCHOOL, Mafoluku",6998,Oshodi-Isolo,Privately owned
"HONEYLAND  MONTESSORI SCHOOL, Command",49261,Alimosho,Privately owned
"HONEYLAND  SCHOOLS, Ipaja Campus",61171,Alimosho,Privately owned
"HONEYLAND COLLEGE, Magodo Phase 2",105274,Kosofe,Privately owned
"HONEYLAND MONTESSORI SCHOOL, Baruwa",48969,Alimosho,Privately owned
"HONEYSPRING HIGH SCHOOL, Ifako Ijaiye",5671,Ifako/Ijaiye,Privately owned
"HONEYTOTS    PRIMARY   SCHOOL,Shomolu",105608,Shomolu,Privately owned
"HONOUR COMPREHENSIVE HIGH SCHOOL, Abule-Egba",66509,Alimosho,Privately owned
"HOPE & GRACE GRACE NUR & PRY SCHOOL, Igbogbo",6853,Ikorodu,Privately owned
"HOPE ARAROMI BAPTIST NUR/PRY SCHOOL, Mushin",106264,Mushin,Privately owned
"HOPE CHILDREN SCHOOL, Ajegunle",64316,Ajeromi LGA,Privately owned
"HOPE CHILDREN SCHOOL, Ifako Ijaiye ",106181,Ifako/Ijaiye,Privately owned
"HOPE CHILDREN SCHOOL, Okota",6773,Oshodi-Isolo,Privately owned
"HOPE DYNAMIC COMPREHISIVE COLLEGE, Ashafa Agege",5829,Agege,Privately owned
"HOPE DYNAMIC NUR & PRY SCHOOL, Alimosho",6959,Alimosho,Privately owned
"HOPE LIFTING NURSERY & PRIMARY SCHOOL, Iloro ",4317,Agege,Privately owned
"HOPE PRIMARY SCHOOL, Ikoyi",688,Eti-Osa,State owned
"HOPE PRIMARY SCHOOL, Mafoluku",2475,Oshodi-Isolo,State owned
"HOPE SPRING INTERNATIONAL SCHOOL, Agboju",78993,Amuwo-Odofin,Privately owned
"HOPEBAY COLLEGE AGEGE CAMPUS, Ifako-Agege",10044,Ifako/Ijaiye,Privately owned
"HOPEBAY COLLEGE, Alaba-Oro",3283,Ajeromi LGA,Privately owned
"HOPEBAY COLLEGE, Maza-Maza",3368,Amuwo-Odofin,Privately Owned
"HOPEBAY COLLEGE, Ojo ",59242,Ojo,Privately owned
"HOPEBAY COLLEGE, Okokomaiko",3135,Ojo,Privately owned
"HOPEBAY COLLEGE, Okota",3189,Oshodi-Isolo,Privately owned
"HOPEFUL HIGH SCHOOL ANNEX, Ije-Ododo",106151,Ojo,Privately owned
"HOPEFUL HIGH SCHOOL ANNEX, Ojo",106150,Ojo,Privately owned
"HOPEFUL KIDS PRIVATE SCHOOLS, Ijegun-Ikotun ",5040,Ojo,Privately owned
"HOPESPRING INTERNATIONAL COLLEGE, Agboju",106102,Amuwo-Odofin,Privately owned
"HOREB CHILDREN NURSERY & PRIMARY SCHOOL, Oworonshoki",3499,Kosofe,Privately owned
"HOSANNA HIGH SCHOOL, Ikorodu",64445,Ikorodu,Privately owned
"HOSANNA PRIVATE SCHOOL, Orile-Iganmu",3507,Surulere,Privately owned
"HOUSING ESTATE PRY SCH,  Abesan",1849,Alimosho,State owned
"HOWARD NURSERY & PRIMARY SCHOOL, Orile-Iganmu",64450,Surulere,Privately owned
"HUSSEY MILITARY PRY SCHOOL,Yaba",1978,Lagos-Mainland,State owned
IBA HOUSING ESTATE GRAM SCHOOL,1310,Ojo,State owned
"IBA HOUSING ESTATE JUNIOR SECONDARY SCHOOL,  Ojo ",2972,Ojo,State owned
"IBA HOUSING ESTATE SENIOR SECONDARY SCHOOL, Iba",1836,Ojo,State owned
"IBAFON PRIMARY SCHOOL, Olodi ",125,Ajeromi LGA,State owned
IBEJU COMMUNITY JUNIOR HIGH SCHOOL,607, Ibeju-Lekki,State owned
"IBEJU JUNIOR HIGH SCHOOL, Ibeju Agbe",9725, Ibeju-Lekki,State owned
IBEJU SENIOR  HIGH SCHOOL,1224, Ibeju-Lekki,State owned
"IBIDO PRIMARY SCHOOL,  Okekoto",27,Agege,State owned
"IBITONS NURSERY & PRIMARY SCHOOL, Baruwa",4420,Alimosho,Privately owned
"IBUKUN-OLU PRIMARY SCHOOL,  Agege",28,Agege,State owned
"IBUKUNOLA MEMORIAL NUR/PRY SCHOOL, Mafoluku",3501,Oshodi-Isolo,Privately owned
Ibuolu Secondary School,105421,Ojo,Privately owned
"ICCLAIM RENAISSANCE NURSERY/PRIMARY SCHOOL, Ayobo",105887,Alimosho,Privately owned
"ICON HALL MODEL ACADEMY, Aradagun",105830,Badagry,Privately owned
"ICT- COMPUTER CENTRE, Yaba",12344,Lagos-Mainland,State owned
IDATA/ILAGBO COMMUNITY JUNIOR HIGH SCHOOL,597, Ibeju-Lekki,State owned
"IDEAL COMPREHENSIVE HIGH SCHOOL, Afro Ajangbadi",5698,Ojo,Privately owned
"IDEAL DAY NURSERY & PRIMARY SCHOOL,  Kuje",3448,Amuwo-Odofin,Privately owned
"IDEAL DAY NURSERY & PRIMARY SCHOOL, Ajangbadi",3595,Ojo,Privately owned
"IDEAL GIRLS JUNIOR HIGH SCHOOL, Randle",983,Surulere,State owned
"IDEAL GIRLs SENIOR HIGH SCHOOL, Surulere",1365,Surulere,State owned
"IDEAL MODEL SCHOOLS, Lagos",3278,Lagos-Island,Privately owned
"IDEAL NUR/PRY SCHOOL,  Surulere",2090,Surulere,State owned
"IDEAL NURSERY PRIMARY SCHOOL, Oshodi",2466,Oshodi-Isolo,State owned
"IDEAL PRIMARY SCHOOL,  Festac Town",199,Amuwo-Odofin,State owned
"IDEAL PRIMARY SCHOOL, Tabon Tabon",29,Agege,State owned
"IDERA NUR/PRY SCHOOL,  Ketu",1153,Kosofe,State owned
"IDI-ARABA JUNIOR HIGH SCHOOL,  Idi-Araba",643, Mushin,State owned
"IDI-ARABA MUSLIM COMMUNITY SCHOOL, Idi-Araba",4475, Mushin,Privately owned
"IDI-ARABA SENIOR HIGH SCHOOL,  Idi-Araba",2906, Mushin,State owned
"IDI-ARABA SENIOR HIGH SCHOOL, Idi-Araba.",1813,Mushin,State owned
"IDI-ODO PRIMARY SCHOOL, Gbagada",2528, Shomolu,State owned
"IDIMU COMMUNITY PRIMARY SCHOOL,  Idimu",172,Alimosho,State owned
"IDIMU JUNIOR HIGH SCHOOL, Idimu",12210,Alimosho,State owned
IDOTUN COMMUNITY JUNIOR HIGH SCHOOL,596, Ibeju-Lekki,State owned
"IDOWU PRIMARY SCHOOL, Bariga",2421, Shomolu,State owned
"IFAKO COMPREHENSIVE JUNIOR SECONDARY SCHOOL, Ifako Gbagada",2549,Kosofe,State owned
IFAKO COMPREHENSIVE SENIOR HIGH SCHOOL,12317,Kosofe,State owned
IFAKO IJAIYE ARTS & CRAFT CENTRE,2634,Ifako/Ijaiye,State owned
IFAKO IJAIYE SENIOR COMPREHENSIVE HIGH SCHOOL,12280,Ifako/Ijaiye,State owned
"IFAKO INTERNATIONAL NUR. & PRY SCHOOL, Ifako Ijaiye",7433,Ifako/Ijaiye,Privately owned
"IFAKO INTERNATIONAL SECONDARY SCHOOL, Ifako",4308,Ifako/Ijaiye,Privately owned
"IFAKO PRIMARY SCHOOL, Gbagada",2584,Kosofe,State owned
"IFE-OLUWA PRIMARY SCHOOL,  Idimangoro",32,Agege,State owned
"IFELODUN COMPREHENSIVE HIGH SCHOOL, Mushin",3091, Mushin,Privately owned
IFELODUN HIGH SCHOOL,1245,Ikorodu,State owned
"IFELODUN NURSERY & PRIMARY SCHOOL, Mushin",106296,Mushin,Privately owned
"IFELODUN PRIMARY SCHOOL,  Mulero-Ipaja",30,Agege,State owned
"IFELODUN PRIMARY SCHOOL, Awodi-Ora",76,Ajeromi LGA,State owned
"IFELODUN SENIOR HIGH SCHOOL, Oke Agbo ",9736,Ikorodu,State owned
"IFESOWAPO ABORU JUNIOR SEC. SCHL, Aboru",9659,Alimosho,State owned
"IFESOWAPO ABORU SENIOR SECONDARY SCHOOL, Aboru",9573,Alimosho,State owned
IFESOWAPO ABORU SNR. SEC. SCH. Aboru,1738,Alimosho,State owned
"IFESOWAPO PRIMARY SCHOOL, Aboru",178,Alimosho,State owned
IFESOWAPO/ABORU JUNIOR SECONDARY SCHOOL,397,Alimosho,State owned
IFFELODUN JUNIOR HIGH SCHOOL,905,Ikorodu,State owned
"IFOSHI PRIMARY SCHOOL, Ejigbo",2706,Oshodi-Isolo,State owned
IGANDO COMMUNITY JNR. HIGH SCH. Ikotun ,1751,Ojo,State owned
"IGANDO COMMUNITY JUNIOR HIGH SCHOOL, Igando",9610,Alimosho,State owned
"IGANDO COMMUNITY SENIOR HIGH SCHOOL,  Ikotun",1735,Ojo,State owned
"IGANDO COMMUNITY SENIOR HIGH SCHOOL, Igando",9512,Alimosho,State owned
"IGANDO JUNIOR GRAMMAR SCHOOL, Igando",9648,Alimosho,State owned
IGANMU JUNIOR HIGH SCHOOL,549,Apapa,State owned
"IGANMU SENIOR HIGH SCHOOL,  Sari-Iganmu",2156,Apapa,State owned
"IGANMU SENIOR SEC. SCHOOL, Orile Iganmu",105869,Apapa,State owned
"IGBEHIN ADUN PRIMARY SCHOOL, Pedro ",2455, Shomolu,State owned
"IGBEHIN PRIMARY SCHOOL, Ilasamaja",835, Mushin,State owned
IGBO APAWA COMM HIGH SCH,1086,Epe,State owned
"IGBO OWU JNR. SEC. SCHOOL, Mushin",1752, Mushin,State owned
"IGBO OWU SENIOR SEC. SCHOOL, Mushin",1295, Mushin,State owned
IGBO-APAWA COMMUNITY JUNIOR GRAMMAR SCHOOL,559,Epe,State owned
IGBO-APAWA SENIOR HIGH SCHOOL,12259,Epe,State owned
"IGBOBI COLLEGE, Yaba",5222, Shomolu,Privately owned
IGBOBI COMPUTER CENTRE,12436, Shomolu,State owned
IGBOBI JUNIOR HIGH SCHOOL,962, Shomolu,State owned
"IGBOBI PRIMARY SCHOOL, Morocco",2471, Shomolu,State owned
IGBOGUN HIGH SCH,1087,Epe,State owned
IGBOGUN JUNIOR HIGH SCHOOL,558,Epe,State owned
"IGBOLOGUN JUNIOR SECONDARY SCHOOL, Snake Island",522,Amuwo-Odofin,State owned
"IGBOLOGUN SENIOR SECONDARY SCHOOL,  Igbologun",2154,Amuwo-Odofin,State owned
"IGBOLOGUN SNR SEC. SCHOOL, Snake-Island",2663,Amuwo-Odofin,State owned
IGBOOYE COMM HIGH SCH,1088,Epe,State owned
IGBOOYE COMMUNITY SENIOR HIGH SCHOOL,12261,Eti-Osa,State owned
IGBOOYE JUNIOR COMMUNITY HIGH SCHOOL,12256,Epe,State owned
IGBOYE COMMUNITY JUNIOR GRAMMAR SCHOOL,573,Epe,State owned
"IJAIYE HOUSING ESTATE JUNIOR SECONDARY SCHOOL, Alakashi",9503,Ifako/Ijaiye,State owned
"IJAIYE HOUSING ESTATE SENIOR GRAMMAR SCHOOL, Ojokoro",10143,Ifako/Ijaiye,State owned
"IJAIYE OJOKORO JUNIOR COLLEGE, Ojokoro",11929,Ifako/Ijaiye,State owned
"IJAIYE OJOKORO JUNIOR HIGH SCHOOL,Ojokoro",9705,Ifako/Ijaiye,State owned
"IJAIYE OJOKORO SENIOR COLLEGE, Ijaiye",9534,Ifako/Ijaiye,State owned
"IJAIYE OJOKORO SENIOR HIGH SCHLL-II, Ijaye-Ijokoro",2229,Ifako/Ijaiye,State owned
"IJAYE HIGHLAND NURSERY/PRIMARY SCHOOL, Abatan-Ogba",4148,Ifako/Ijaiye,Privately owned
"IJEBUTEDO PRIMARY SCHOOL, Palmgrove",2427, Shomolu,State owned
"IJEGUN - EGBA NUR/PRY SCHOOL 1,  Ijegun",200,Amuwo-Odofin,State owned
"IJEGUN COMMUNITY PRIMARY SCHOOL-1, Ijegun",2718,Alimosho,State owned
IJEGUN COMPREHENSIVE JNR. HIGH SCH. Ijegun,1799,Alimosho,State owned
"IJEGUN COMPREHENSIVE JUNIOR HIGH SCHOOL 2, Ijegun",9674,Alimosho,State owned
"IJEGUN EGBA NUR/PRY SCHOOL 2,  Ijegun",2163,Amuwo-Odofin,State owned
IJEGUN JUNIOR GRAMMAR SCHOOL,12212,Alimosho,State owned
"IJEGUN SNR. COMPREHENSIVE HIGH SCHOOL,  Ijegun",1913,Alimosho,State owned
"IJEODODO JUNIOR GRAMMAR SCHOOL, Abaranje",1789,Ojo,State owned
"IJEODODO SENIOR GRAMMAR SCHOOL, Ojo",1835,Ojo,State owned
"IJERO BAPTIST CHURCH NUR/PRY SCHOOL,  Ebute-Metta",4170,Lagos-Mainland,Privately owned
"IJERO GIRLS JUNIOR HIGH SCHOOL, Ebute Metta West",9461,Lagos-Mainland,State owned
IJESHA TEDO BOYS JUNIOR SECONDARY SCHOOL,984,Surulere,State owned
IJESHATEDO BOYS JNR,105880,Surulere,State owned
"IJESHATEDO BOYS SNR. SEC. SCHOOL,  Surulere",2913,Surulere,State owned
"IJESHATEDO JUNIOR GRAMMAR  SCHOOL,  Okota",1873,Oshodi-Isolo,State owned
"IJESHATEDO JUNIOR SECONDARY SCHL, Surulere",1988,Surulere,State owned
"IJESHATEDO PRIMARY SCHOOL,  Surulere",2103,Surulere,State owned
"IJESHATEDO SENIOR GRAMMAR SCHOOL, Okota",2435,Oshodi-Isolo,State owned
"IJOMU MUSLIM PRIMARY SCHOOL,  Ikorodu",1113,Ikorodu,State owned
"IJORA OLOYE NUR/PRY SCHL,  Ijora",234,Apapa,State owned
IJU OBAWOLE JUNIOR GRAMMAR SCHOOL,12279,Ifako/Ijaiye,State owned
"IJU SENIOR GRAMMAR SCHOOL, Iju",9574,Ifako/Ijaiye,State owned
"IKE OLUWA COMPREHENSIVE COLLEGE, Okerube",3854,Alimosho,Privately owned
"IKE OLUWA NURSERY & PRIMARY SCHOOL, Abaranje",51067,Alimosho,Privately owned
"IKEJA JUNIOR COLLEGE, Oshodi",952,Oshodi-Isolo,State owned
"IKEJA JUNIOR GRAMMAR SCHOOL, Bolade",941,Oshodi-Isolo,State owned
IKEJA JUNIOR HIGH SCHOOL,918, Ikeja,State owned
"IKEJA PRIMARY SCHOOL, GRA Ikeja",795, Ikeja,State owned
"IKEJA SENIOR GRAMMAR SCHOOL, Bolade",1327,Oshodi-Isolo,State owned
IKEJA SENIOR HIGH SCHOOL,12415,Oshodi-Isolo,State owned
"IKEJA SENIOR HIGH SCHOOL, G.R.A. Ikeja",1823, Ikeja,State owned
"IKENNA STARS ACADEMY, Igbede",5454,Ojo,Privately owned
"iKETLAND PETRA PRIVATE SCHOOL, Lagos Island.",49383,Lagos-Island,Privately owned
"IKHWAN NURSERY/PRIMARY SCHOOL, Ewutuntun",105734,Oshodi-Isolo,Privately owned
"IKOGA JUNIOR GRAMMAR SCHOOL, Ikoga Zebbe",542,Badagry,State owned
"IKOGA SENIOR GRAMMAR SCHOOL, Ikoga Zebbe",1071,,State owned
IKORODU HIGH SCHOOL,1247,Ikorodu,State owned
IKORODU JUNIOR GRAMMAR SCHOOL,1246,Ikorodu,State owned
IKORODU JUNIOR HIGH SCHOOL,904,Ikorodu,State owned
"IKORODU SENIOR HIGH SCHOOL, Ikorodu",9737,Ikorodu,State owned
"IKORODUN SENIOR GRAMMAR SCHOOL, Ikorodu",9723,Ikorodu,State owned
"IKOSI JUNIOR HIGH  SCHOOL, Ikosi-Ketu",2587,Kosofe,State owned
"IKOSI NUR/PRY SCHOOL,  Ketu",1175,Kosofe,State owned
"IKOSI SENIOR HIGH SCHOOL, Ketu",9799,Kosofe,State owned
"IKOTA PRIMARY SCHOOL, Eti Osa",690,Eti-Osa,State owned
"IKOTUN COMMUNITY PRIMARY SCHOOL II, Ikotun",9205,Alimosho,State owned
"IKOTUN COMMUNITY PRY SCHOOL 1, Ikotun",1909,Alimosho,State owned
"IKOTUN COMPREHENSIVE COLLEGE, Ikotun",3847,Alimosho,Privately owned
"IKOTUN INTERNATIONAL NURSERY & PRIMARY SCHOOL, Ikotun",3850,Alimosho,Privately owned
"IKOTUN JUNIOR HIGH SCHOOL,  Ikotun",1784,Alimosho,State owned
IKOTUN SENIOR GRAMMAR SCHOOL,12214,Alimosho,State owned
"IKOTUN SENIOR HIGH SCHOOL, Ikotun",9539,Alimosho,State owned
"IKOYI GIRLS MODERN ACADEMY, Ikoyi",10904,Eti-Osa,State owned
"IKOYI NUR./PRY SCHOOL, Osborne Rd",691,Eti-Osa,State owned
"ILADO COMM. JUNIOR HIGH SCHOOL, Ikoyi",1211,Eti-Osa,State owned
ILADO COMMUNITY SENIOR HIGH SCHOOL,12265,Eti-Osa,State owned
ILAMOYE GRAMMAR SCHOOL,1328,Oshodi-Isolo,State owned
"ILAMOYE JUNIOR GRAMMAR SCHOOL, Okota",942,Oshodi-Isolo,State owned
"ILASAMAJA PRIMARY SCHOOL, Ilasamaja",2524,Oshodi-Isolo,State owned
"ILASAMAJA ROAD PRIMARY SCHOOL,  Mushin",839,,State owned
ILASAN JUNIOR SECONDARY SCHOOL JAKANDE ESTATE ETI -OSA LAGOS,9395,Eti-Osa,State owned
"ILASAN PRIMARY SCHOOL, Jakande",692,Eti-Osa,State owned
ILASAN SECONDARY SCHOOL,1212,Eti-Osa,State owned
"ILASAN SENIOR SECONDARY SCHOOL, Lekki",9409,Eti-Osa,State owned
"ILOGBO ELEGBA JUNIOR GRAMMAR SCHOOL, Ilogbo-Elegba",1806,Ojo,State owned
"ILOGBO JUNIOR HIGH SCHOOL, Costain",2614,Lagos-Mainland,State owned
"ILOGBO-ELEGBA SENIOR GRAMMAR SCHOOL, Ilogbo",2372,Ojo,State owned
"ILORO JUNIOR GRAMMAR SCHOOL, Cement",369,Agege,State owned
"ILUPEJU COLLEGE, Ilupeju",2922, Mushin,Privately owned
ILUPEJU HOME ECONOMICS CENTRE,1440,Oshodi-Isolo,State owned
"ILUPEJU JUNIOR GRAMMAR SCHOOL, Ilupeju",641, Mushin,State owned
"ILUPEJU JUNIOR SECONDARY SCHOOL, Ilupeju",640, Mushin,State owned
"ILUPEJU PRIMARY SCHOOL,Ilupeju",841,,State owned
"ILUPEJU SENIOR GRAMMAR SCHOOL, Ilupeju",1296, Mushin,State owned
"ILUPEJU SENIOR SECONDARY SCHOOL, Ilupeju",1298, Mushin,State owned
"IMAGEMAKERS NURSERY/PRIMARY SCHOOL, Surulere",3528,Surulere,Privately owned
IMAGINATION NURSERY PRIMARY SCHOOL ,105373,,Privately owned
"IMAKIYO PRY SCHOOL, Ejigbo",2356,Oshodi-Isolo,State owned
"IMAN COLLEGE, Ago-Okota",10892,Amuwo-Odofin,Privately owned
"IMMACULATE CONCEPTION NUR/ PRY SCHOOL, Surulere",3064,Surulere,Privately owned
"IMMACULATE HEART COMPREHENSIVE JUNIOR HIGH SCHOOL, Maryland",9753,Kosofe,State owned
"IMMACULATE HEART COMPREHENSIVE SENIOR HIGH SCHOOL,Maryland",9798,Kosofe,State owned
"IMMACULATE HEART JUNIOR COMPREHENSIVE HIGH SCHOOL II, Maryland",2583,Kosofe,State owned
"IMMAM SHUAIB NUR/PRY SCHL, Ijeshatedo",2002,Surulere,State owned
"IMMANUEL ANGLICAN SECONDARY SCHOOL, Apapa",105814,Apapa,Privately owned
"IMMAVERO NURSERY/PRIMARY SCHOOL, Papa-Ajao",10035, Mushin,Privately owned
"IMOLA COMPREHENSIVE COLLEGE, Iju Road",6095,Ifako/Ijaiye,Privately owned
"IMOLA DAY NUR/PRY SCHOOL, Alasia",3663,Oshodi-Isolo,Privately owned
"IMOTA COMMUNITY JUNIOR GRAMMAR SCHOOL, Imota Itokin Rd",9762,Ikorodu,State owned
IMOTA COMMUNITY SENIOR GRAMMAR SCHOOL,12297,Ikorodu,State owned
"IMOYE JUNIOR HIGH SCHOOL, Mile 2",529,Amuwo-Odofin,State owned
"IMOYE SENIOR HIGH SCHOOL,   Imoye",1053,Amuwo-Odofin,State owned
"IMPERIAL GATE SCHOOL, Lekki Phase 1",7501,Eti-Osa,Privately owned
"IMPERIAL SPRINGS SCHOOL, Lekki Phase 1",64174,Eti-Osa,Privately owned
"IMPPERIAL SPRINGS SCHOOL, Lekki Phase 1",12146,Lagos-Island,Privately owned
"INFANT JESUS COLLEGE, Ajegunle Apapa",4629,Ajeromi LGA,Privately owned
"INFANTINO MONTESSORI SCHOOL, ",3924,Eti-Osa,Privately owned
"INGLEWOOD ACADEMY, Owotu",5421,Ikorodu,Privately owned
"INGLEWOOD MONTESSORI SCHOOL, Ikorodu",6618,Ikorodu,Privately owned
"INITORO PROGRESS NUR. & PRY SCHOOL, Onikan",7512,Eti-Osa,Privately owned
INNER CITY MISSION NURSERY PRIMARY SCHOOL,105467,,Privately owned
"INNERCITY MISSION NURSERY & PRIMARY SCHOOL, Ikeja",106239,Ikeja,Privately owned
"INNOCENT COMPREHENSIVE HIGH SCHOOL, Surulere.",106565,Surulere,Privately owned
"INSPIRED CHRISTIAN NURSERY & PRIMARY SCHOOL, Ahmadiya",106442,Ifako/Ijaiye,Privately owned
"INTEL PRIVATE NUR & PRY SCHOOL, Oworoshonki",3737,Kosofe,Privately owned
"INTEL WESTEND COLLEGE, Oworoshoki",105357,Kosofe,Privately owned
"INTELLIGENT HIGH SCHOOL, Idimu",8336,Alimosho,Privately owned
"INTERLAND COLLEGE, Akesan",105375,Alimosho,Privately owned
"INTESIDA SCHOOL, Alagbado",106306,Alimosho,Privately owned
"INVESTORS PRIVATE SCHOOL, Mafoluku",3206,Oshodi-Isolo,Privately owned
"IPAJA BAPTIST NURSERY & PRIMARY SCHOOL, Ipaja",3669,Alimosho,Privately owned
"IPAJA COMMUNITY PRY SCHOOL,  Ipaja",173,Alimosho,State owned
IPAKODO JUNIOR GRAMMAR SCHOOL,901,Ikorodu,State owned
IPAKODO SENIOR GRAMMAR SCHOOL,1249,Ikorodu,State owned
"IPESA BALOGUN PRIMARY SCHOOL, Orile-Osodi",2535,Oshodi-Isolo,State owned
IPONRI - OLALEYE COMMUNITY NUR/PRY SCH.  Iponri,1947,Lagos-Mainland,State owned
IPONRI ESTATE JUNIOR HIGH SCHOOL,985,Surulere,State owned
"IPONRI ESTATE SENIOR HIGH SCHOOL,  Surulere",1367,Surulere,State owned
"IPONRI GRAMMAR SCHOOL, Iponri",2209,Lagos-Mainland,Privately Owned
"IQRA COMPREHENSIVE HIGH SCHOOL, Ifako Ijaiye ",48990,Ifako/Ijaiye,Privately owned
"IQRAH INTERNATIONAL SCHOOL, Igando Rd",8713,Ojo,Privately owned
"IQRAH NURSERY & PRIMARY SCHOOL, Iba New Site.",106450,Ojo,Privately owned
IRE AKARI GRAMMAR SCHOOL,1329,Oshodi-Isolo,State owned
"IRE-AKARI ESTATE MODEL PRIMARY SCHOOL, Ishaga-Isolo",2537,Oshodi-Isolo,State owned
"IRE-AKARI JUNIOR GRAMMAR SCHOOL, Okota",943,Oshodi-Isolo,State owned
"IRE-AKARI NURSERY/PRIMARY SCHOOL II,  Sari",238,Apapa,State owned
IRE-AKARI PRIMARY SCHOOL,12228,Apapa,State owned
"IRE-AKARI PRIMARY SCHOOL, Ilasamaja",2354,Oshodi-Isolo,State owned
"IREAKARI NUSERY/PRIMARY  SCHOOL 1,  Sari",2122,Apapa,State owned
